year,ticker,profit,sales
2010,CTB,140.449,3360.984
2010,COO,112.803,1158.517
2010,TAP,707.7,3254.4
2010,ICMC.1,-6.782,8.935
2010,GLW,3558,6632
2010,CNIG,1.642,22.445
2010,CSMO,-1.469,15.755
2010,2289B,60.716,1804.018
2010,CRRC,7.114,257.14
2010,CUZ,-14.573,237.999
2010,CUZ,,
2010,CBRL,85.258,2404.515
2010,CR,154.17,2217.825
2010,CRD.A,28.328,1110.801
2010,AGC1,1466.334,2124.926
2010,OMF,1458.128,2126.283
2010,CRED.1,2.203,11.566
2010,CHMT.,-586,2760
2010,ATX,6.373,158.312
2010,CCK,324,7941
2010,CRWS,4.306,89.971
2010,CUB,70.636,1194.189
2010,CFR,208.764,899.372
2010,CFR,,
2010,CULP,16.164,216.806
2010,CMI,1040,13236
2010,CW,106.598,1893.134
2010,GTBP,-2.995,0.011
2010,DST,318.5,2255.1
2010,WEN,-4.325,3416.414
2010,DAN,10,6109
2010,DHR,1793,13202.602
2010,DAIO,3.012,26.396
2010,DRAM.1,-4.634,46.847
2010,7183B,14.053,591.732
2010,DWSN,-9.352,205.272
2010,DXR,4.968,1.579
2010,TGT,2920,67390
2010,AES5,290.3,1883.1
2010,DE,1865,25549.6
2010,DE1,319.4,1682.3
2010,DGTC,-0.812,56.168
2010,DVLN,,
2010,DAL,593,31755
2010,DGAS,5.652,76.422
2010,DLX,152.624,1377.637
2010,DTRX,2.088,93.665
2010,DTE,630,8557
2010,ATGE,279.909,1915.181
2010,DEWY,-0.3,8.425
2010,PYYX,-71.551,2094.062
2010,DBD,-20.252,2823.793
2010,NSYS,0.507,99.82
2010,DDS,179.62,6245.635
2010,DIOD,76.733,612.886
2010,DNEX,59.056,419.607
2010,DION,-0.409,0.705
2010,DIS,3963,38063
2010,DXYN,-4.654,231.322
2010,DG,627.857,13035
2010,D,2808,15197
2010,DCI,166.163,1884.264
2010,RRD,221.7,10018.9
2010,DMLP,34.883,61.094
2010,WNEA,-5.394,0.135
2010,ESCRQ,5.503,51.143
2010,DOV,700.104,7132.648
2010,DD,2310,53674
2010,OMC,827.7,12542.5
2010,ASNAQ,133.378,2374.571
2010,DD.2,3031,32134
2010,ALCSQ,-4.635,465.199
2010,DCO,19.808,408.406
2010,DUK,1320,14272
2010,DNB,252.1,1676.6
2010,FLS,388.29,4032.036
2010,DY,5.849,988.623
2010,DYNT,0.424,32.962
2010,DRCO.,12.705,272.065
2010,COBR,1.577,110.52
2010,DYSL,3.234,42.97
2010,PKI,383.919,1704.346
2010,MTWD.1,-0.196,2.21
2010,STS,-11.529,220.888
2010,EML,5.543,130.13
2010,EGP,18.325,173.797
2010,EGP,,
2010,KODK,-687,7187
2010,EV,174.298,1121.661
2010,EV,,
2010,ECL,530.3,6089.7
2010,EDUC,1.168,27.244
2010,EE,100.603,877.251
2010,EP,806,4616
2010,ELRC,23.756,228.729
2010,ESIO,7.934,256.811
2010,ELSE,0.527,6.201
2010,ELMG,14.065,355.225
2010,EMR,2164,21039
2010,MSN,15.918,200.841
2010,EDE,47.396,541.276
2010,ELX,23.62,399.15
2010,SORL,20.369,199.365
2010,EGN,290.807,1578.534
2010,ENERQ,-455.896,254.416
2010,ATO,205.839,4789.69
2010,EBF,44.631,549.999
2010,ENZN,177.243,56.965
2010,VKSC,15.619,316.215
2010,ETCC,14.534,55.451
2010,ENZ,-22.233,97.082
2010,EFX,266.7,1859.5
2010,EQT,227.7,1322.708
2010,ESCA,6.059,120.656
2010,ESP,3.565,28.9
2010,ESL,141.92,1526.601
2010,NEU,177.125,1797.392
2010,ESCC,-4.644,27.481
2010,EXAR,-35.668,146.005
2010,KINS,0.983,21.596
2010,EXPD,344.172,5967.573
2010,BOOM,5.265,154.739
2010,IIIN,0.473,211.586
2010,XOM,30460,341578
2010,FMC,172.5,3116.3
2010,NEE,1957,15317
2010,JAS,93.1,2079
2010,HAIR.1,-0.18,0.015
2010,FDO,358.135,7866.971
2010,FARM,-23.953,450.318
2010,FDX,1452,39304
2010,FDML,161,6219
2010,FNMA,-14014,154904
2010,FNMA,,
2010,FRT,122.79,545.99
2010,FRT,,
2010,COLE,-6.293,144.627
2010,FSCR,-5.137,49.577
2010,FSS,-175.7,726.5
2010,M,847,25003
2010,FOE,5.696,2101.865
2010,CLBS,-23.306,69.821
2010,FITB,753,7066
2010,FITB,,
2010,SGK,32.42,460.626
2010,IDC,,
2010,RF,-539,8218
2010,RF,,
2010,FMER,102.909,753.885
2010,FMER,,
2010,TRMK,100.636,574.145
2010,TRMK,,
2010,FCNCA,193.044,1239.582
2010,FCNCA,,
2010,FCIC,-0.071,0
2010,MTB,,
2010,MTB,736.161,3809.895
2010,FHRT,-4.351,22.124
2010,USB,3317,20518
2010,USB,,
2010,FHN,50.201,1818.918
2010,FHN,,
2010,FUR,16.189,53.698
2010,FUR,,
2010,BDL,1.679,69.993
2010,FLXS,10.801,326.466
2010,FPL1,945,10485
2010,DUK9,453,5254
2010,FLOW.1,0.766,216.524
2010,FLO,137.047,2573.769
2010,FLR,357.496,20849.349
2010,FONR,-3.013,31.816
2010,F,6561,128954
2010,F1,1948,10378
2010,FCE.A,58.66,1177.661
2010,FCE.A,,
2010,FRX.1,1046.77,4378.482
2010,FST.1,227.521,853.739
2010,PVEN,,
2010,FSTR,20.492,475.05
2010,FELE,38.968,713.792
2010,BEN,1445.689,5862.869
2010,BEN,,
2010,FRWL,-0.113,0.65
2010,FEIM,6.015,53.223
2010,FRD,8.156,131.709
2010,FRS,9.473,304.865
2010,FFEX,-11.93,368.822
2010,FUL,70.877,1356.161
2010,GK.2,28.612,833.592
2010,GATX,80.8,1166.8
2010,AJG,174.1,1863
2010,TGNA,588.201,5438.678
2010,GPS,1204,14664
2010,AJRD,6.8,857.9
2010,GAM,,
2010,MCLN,-4.577,0.897
2010,GD,2624,32466
2010,GE,11644,149060
2010,GE1,2291,46921
2010,GE1,,
2010,JOB,-1.556,11.917
2010,GIS,1798.3,14880.2
2010,ALLY,1075,16835
2010,GM,6172,135592
2010,SPXC,205.6,4886.8
2010,GCO,53.211,1789.839
2010,GNTX,137.734,816.263
2010,GPC,475.511,11207.589
2010,SO2,967,8349
2010,GRB,-23.616,462.521
2010,GTY,51.7,88.621
2010,GTY,,
2010,GIGA,14.072,21.029
2010,GLT,54.434,1465.984
2010,WSRC,0.285,0.763
2010,GLDC,3.015,131.048
2010,GV,-0.253,33.368
2010,GR,578.7,6966.9
2010,GT,-216,18832
2010,GRC,25.963,296.808
2010,KYTH,-16.031,4.488
2010,6283B,,
2010,GRA,207.1,2675
2010,GGG,102.84,744.065
2010,GHM,5.874,74.235
2010,GWW,510.865,7182.158
2010,GTN,23.163,346.058
2010,1737B,41.998,4616.377
2010,GAPTQ,-598.575,8078.455
2010,GNI,17.469,20.791
2010,PXFG,-1.705,17.262
2010,ALSE,0.512,0
2010,GEF,209.985,3461.537
2010,MGI,43.801,1166.653
2010,MGI,,
2010,GRBEQ,-66.78,572.457
2010,GRBEQ,,
2010,GLF,-34.745,359.766
2010,SO3,127.714,1590.209
2010,ETR7,190.738,2097.021
2010,GYRO,-1.081,5.552
2010,GYRO,,
2010,HEIIQ,-0.369,36.42
2010,HMG,-1.335,9.973
2010,HAL,1835,17973
2010,HWG,9.88,168.354
2010,JHS,,
2010,HDLM,,
2010,HKNI,0.606,11.184
2010,AXRX,0.189,11.487
2010,LHX,561.6,5206.1
2010,HSC,6.754,3038.678
2010,HAS,397.752,4002.161
2010,AMOT,3.585,80.591
2010,HVT,8.444,621.048
2010,HE1,78.584,2367.441
2010,HE,115.425,2664.982
2010,HWKN,20.314,297.641
2010,HCSG,34.441,773.956
2010,WELL,128.527,687.203
2010,WELL,,
2010,STRL,19.087,459.893
2010,HL,48.983,418.813
2010,HEI,54.938,617.02
2010,KHC,989.51,10706.588
2010,HP,156.312,1875.162
2010,HRLY,7.014,188.123
2010,HSY,509.799,5671.009
2010,HTZZ,-48.044,7562.534
2010,HPQ,8761,126033
2010,HXL,77.4,1173.6
2010,CRAWA,-0.949,5.259
2010,HRC,125.3,1469.6
2010,HLT,,
2010,HFC,103.964,8322.929
2010,PNK,-23.419,1098.38
2010,HD,3338,67997
2010,HOFD,3.529,35.943
2010,HNI,26.941,1686.728
2010,HPHWQ,1.476,166.37
2010,HRL,395.587,7220.719
2010,HOT,477,5071
2010,HBC1,-1916,9775
2010,HBC1,,
2010,CNP,442,8785
2010,HOV,2.588,1371.842
2010,UBA,27.542,85.753
2010,UBA,,
2010,HUBB,217.2,2541.2
2010,JBHT,199.617,3793.485
2010,HBAN,312.347,3187.25
2010,HBAN,,
2010,HURC,-5.744,105.893
2010,HTCH,-58.922,347.189
2010,HBP,-18.9,467.7
2010,HYDI,-0.559,6.2
2010,IEC,4.655,96.674
2010,LPHIQ,23.426,55.88
2010,BVH,-103.848,684.516
2010,BVH,,
2010,ITT,798,10995
2010,RYN,217.586,1315.233
2010,RYN,,
2010,IDA,142.798,1036.029
2010,ITW,1527.193,15870.376
2010,TLGT,-3.423,6.094
2010,IPII,-1.234,8.229
2010,IMMU,36.996,60.929
2010,AEP2,126.091,2195.727
2010,VVC,133.7,2129.5
2010,IEHC,1.67,13.824
2010,RYI,-104,3895.5
2010,WGEI,-0.02,0
2010,AEGN,60.462,914.975
2010,GFF,9.592,1293.996
2010,INTE.,,
2010,IDTI,72.627,625.705
2010,INTC,11464,43623
2010,INS,-0.187,15.443
2010,INRD,-0.734,11.054
2010,ICB,,
2010,FBNIQ,-39.026,1159.934
2010,ITDN,-0.006,0
2010,TILE,8.283,961.827
2010,PSWS,-6.64,0
2010,IBM,14833,99871
2010,IFF,263.557,2622.862
2010,NAV,223,12145
2010,AIG1,-383.758,4747.903
2010,IGT.1,186,1987.2
2010,IDCC,153.616,394.545
2010,IP,644,25179
2010,IRF,80.827,895.297
2010,IRIS,3.042,107.672
2010,ISHCQ,15.302,290.049
2010,ISCA,54.531,645.357
2010,ITSI,-0.951,5.886
2010,INPHQ,-8.419,18.207
2010,IPG,261.1,6531.9
2010,IVC,25.341,1722.081
2010,MLKNA,0.203,5.997
2010,AES4,79.947,1144.903
2010,ISCIQ,-11.156,11.717
2010,ISRL,-2.787,41.545
2010,AXE,108.5,5472.1
2010,EPHC,11.645,53.36
2010,EPHC,,
2010,JCLY,1.94,196.02
2010,J,245.974,9941.411
2010,EME,-86.691,5121.285
2010,LUK2,223.666,2797.346
2010,LUK2,,
2010,SSCC.,1438,6286
2010,GPU3,192.095,3027.088
2010,NWBA,-0.593,0.14
2010,JNJ,13334,61587
2010,CDGD,-0.213,-0.3
2010,KLAC,212.3,1820.76
2010,SHLDQ,133,43326
2010,ANTP,,
2010,KMI,-41.3,8190.6
2010,PNRG,2.753,117.964
2010,KVPHQ,-271.7,27.3
2010,KAMN,38.324,1318.513
2010,FRM,9.486,285.953
2010,KCLI,22.302,431.363
2010,KCLI,,
2010,GXP,211.7,2255.5
2010,KSU,180.2,1814.8
2010,EVRG,203.896,2056.171
2010,APO3,-36.257,1330.645
2010,KATYQ,-5.067,141
2010,KDN,56.045,463.988
2010,KEI,24.878,126.87
2010,K,1247,12397
2010,KELYA,26.1,4950.3
2010,KENS,-2.742,0
2010,KMT,46.419,1884.067
2010,IHRC,2.439,60.148
2010,AEP4,35.282,683.672
2010,KEQU,1.85,100.003
2010,KTCC,8.69,199.62
2010,KYCN,8.743,450.745
2010,KBAL,10.803,1122.808
2010,KMB,1843,19746
2010,KEX,116.249,1109.557
2010,KOSS,-3.572,40.599
2010,KRSL,-0.958,23.695
2010,KR,1116,82189
2010,KLIC,142.142,762.784
2010,LRTR,-0.584,0.234
2010,LYTS,1.424,254.402
2010,LXU,29.574,609.905
2010,LSI.1,39.972,2570.047
2010,XCRA,18.148,219.082
2010,LB.1,14.888,289.303
2010,LZB,24.047,1187.143
2010,SR,54.04,1735.029
2010,LRCX,346.669,2133.776
2010,LANC,114.969,1056.608
2010,LNCE,2.512,981.835
2010,PCGR,-1.358,44.989
2010,PHMD.1,-8.723,34.802
2010,LAWS,6.937,316.78
2010,LEE,46.105,780.648
2010,LEG,176.6,3359.1
2010,LM,253.923,2784.317
2010,LM,,
2010,FOURQ,-27.161,14.478
2010,LEN,95.261,3074.022
2010,LCAR,-0.117,0.557
2010,JEF,1939.312,1316.704
2010,FGMGQ,-4.843,9.325
2010,LLY,5069.5,23076
2010,BBWI,805,9613
2010,LECO,130.244,2070.172
2010,LNC,980,10314
2010,LNC,,
2010,KATE,-251.467,2500.072
2010,LMT,2926,45803
2010,L,1288,14615
2010,L,,
2010,RRC,-239.256,962.309
2010,FACO,,
2010,FACO,7.04,223.173
2010,LPX,-39,1383.6
2010,ETR2,231.435,2538.766
2010,LOW,2010,48815
2010,LZ.1,732.2,5417.8
2010,LUB,-2.893,244.933
2010,LUFK,43.823,645.643
2010,CYBI,-58.237,122.961
2010,LDL,2.739,338.007
2010,LGL,9.423,46.656
2010,MDC,-64.77,958.655
2010,MDU,240.659,3909.695
2010,MAXX,-23.7,54.2
2010,MTSC,18.576,374.053
2010,MGEE,57.718,532.591
2010,MPET,-1.447,28.525
2010,3MAMM,-0.256,0.298
2010,MTW,-73.4,3141.7
2010,ENVE,12.094,161.972
2010,MRO,2568,67113
2010,MCS,13.558,377.004
2010,MARPS,2.641,2.109
2010,HST,-130,4444
2010,HST,,
2010,MMC,850,10550
2010,MI.1,-515.871,2975.184
2010,MI.1,,
2010,MAS,-1043,7592
2010,CCUR,-1.014,60.421
2010,VPF,0.623,14.716
2010,MASC,12.044,137.624
2010,MAT,684.863,5856.195
2010,MLP,24.752,41.954
2010,MXWL,-6.056,121.882
2010,MAYS,0.432,14.768
2010,MKC,370.2,3336.8
2010,MCD,4946.3,24074.6
2010,MGRC,36.479,291.374
2010,SPGI,828.063,6168.331
2010,MCK,1202,112084
2010,MCRAA,2.952,62.571
2010,MKTY,-1.758,8.413
2010,GENC,2.969,55.587
2010,MHS,1427.3,65968.3
2010,INVI,-2.439,1.606
2010,MEG.1,-22.638,678.115
2010,MDCI,4.354,362.494
2010,PSSR,0.021,10.958
2010,CVS,3427,96413
2010,SVMT,-2.227,0
2010,MENT,28.584,914.753
2010,MRK,861,45987
2010,MDP,103.963,1387.73
2010,BAC2,3776,37492
2010,BAC2,,
2010,MLAB,6.183,32.826
2010,MTR,6.521,6.686
2010,MSB,32.463,33.328
2010,MPR,6.139,88.865
2010,MEI,19.5,428.215
2010,EVI,0.414,19.625
2010,UCAP,12.742,80.684
2010,GPU1,58.007,1818.547
2010,MXC,0.156,3.162
2010,SIEB,-2.64,20.77
2010,MIK,98,4031
2010,MCRS,114.353,914.319
2010,MU,1850,8482
2010,MPAD,2.696,23.07
2010,MSCC,59.038,518.268
2010,MFCO,0.146,4.692
2010,ETR6,82.624,558.584
2010,ETR,1270.305,11487.577
2010,MSEX,14.33,102.735
2010,MKRS,0.252,4.802
2010,MLHR,70.8,1649.2
2010,MLLS,0.074,0.395
2010,MSA,38.104,976.631
2010,EXCE,671.926,515.226
2010,MMM,4085,26662
2010,ALE,75.3,906.3
2010,MSWP,8.473,98.408
2010,MSWP,,
2010,ETR4,83.687,1230.185
2010,SO4,81.95,1143.068
2010,MOCO,4.518,31.549
2010,MOD,6.18,1448.235
2010,MOLX,76.93,3007.207
2010,MCPIQ,-49.085,35.157
2010,MCEM,0.224,121.185
2010,MNR,11.007,50.332
2010,MNR,,
2010,QDEL,-11.271,113.339
2010,AYE1,51.359,907.594
2010,MTS,,
2010,MOG.A,108.094,2114.252
2010,RT,46.878,1265.162
2010,MRFD,-0.988,89.891
2010,VERA.1,0.611,13.165
2010,MSI,633,19282
2010,STR2,67.4,271.2
2010,STR1,43.9,902.9
2010,MUR,798.081,23401.117
2010,INTG,-2.549,44.835
2010,MYE,-42.834,737.618
2010,VTRS,345.115,5450.522
2010,BAC,-2238,134194
2010,BAC,,
2010,NCR,134,4819
2010,NL,70.381,135.264
2010,NRTI,-3.443,0.259
2010,BMRA,0.157,4.899
2010,NANO,55.948,188.065
2010,NSSC,-6.5,67.757
2010,NAFC,50.941,4991.979
2010,MRNA.1,-27.753,1.71
2010,NATH,2.213,56.41
2010,NFG,225.913,1760.503
2010,NHC,52.695,715.504
2010,THC,1143,9205
2010,GPX,12.732,259.926
2010,0738B,21.464,978.284
2010,NPK,63.531,479
2010,7252B,149.426,1008.911
2010,NSM.2,298.8,1520.4
2010,NTSC,5.35,144.069
2010,0170A,213.67,2826.737
2010,NATR,-1.233,349.918
2010,NVE,226.984,3280.222
2010,CRMZ,1.013,9.343
2010,NJR,117.457,2639.304
2010,ETR3,31.005,659.266
2010,NUVR,2.051,31.919
2010,NYT,107.704,2393.463
2010,NWL,292.8,5759.2
2010,NEM,2277,9540
2010,NR,41.626,715.954
2010,NEWP.1,41.113,479.787
2010,GAS.2,138.4,2709.8
2010,NKE,2133,20862
2010,NOBH,-0.795,14.862
2010,NBL,725,2904
2010,NROM,0.311,7.271
2010,NRDSQ,-21.205,28.648
2010,NDSN,168.048,1041.551
2010,JWN,613,9700
2010,NSC,1496,9516
2010,NABI.1,0.878,35.005
2010,NC,79.5,2679.9
2010,MOV,-44.92,382.19
2010,NRT,18.72,19.645
2010,PGL2,7.9,211.3
2010,ES,387.949,4898.167
2010,GAS1,100.9,2204.4
2010,NI,292,6422
2010,XEL,755.834,10310.947
2010,XEL1,42.749,827.291
2010,NTRS,669.5,4025.7
2010,NTRS,,
2010,NOC,2053,34757
2010,TEX,358.5,4418.2
2010,NWN,72.667,812.106
2010,WMB2,149.527,421.817
2010,BVII,-0.129,20.457
2010,NWE,77.376,1110.72
2010,WFC,12362,93249
2010,WFC,,
2010,NUE,134.092,15844.627
2010,SUR,134.42,472.693
2010,SUR,,
2010,HZHI,-0.192,0.02
2010,OPST,0.461,4.9
2010,NEWT,1.439,112.719
2010,OXY,4530,19045
2010,OBCI,2.018,27.404
2010,OII,200.531,1917.045
2010,ITI,-5.209,59.443
2010,VTOL,132.315,1232.808
2010,FE,784,13253
2010,ZZ,-13.739,1219.471
2010,AEP5,311.393,3223.707
2010,ODC,9.458,219.05
2010,OGE,295.3,3716.9
2010,OLN,64.8,1585.9
